epoch,global_step,running_loss
0,0,0.03394375801086426
0,100,2.570524890422821
0,200,2.2906441259384156
0,300,2.2772134017944334
1,352,0.02230196714401245
1,452,2.2637825918197634
1,552,2.248674714565277
1,652,2.157840757369995
2,704,0.019989044666290284
2,804,1.84515096783638
2,904,1.705369882583618
2,1004,1.5946061682701111
3,1056,0.015027395486831664
3,1156,1.4900740039348603
3,1256,1.4084184861183167
3,1356,1.3351171970367433
4,1408,0.01243944525718689
4,1508,1.2187693202495575
4,1608,1.1414972478151322
4,1708,1.0864352923631668
5,1760,0.010368762016296386
5,1860,0.9917812711000442
5,1960,0.9353894251585007
5,2060,0.8714060491323471
6,2112,0.009442278146743775
6,2212,0.8042524492740631
6,2312,0.7716447514295578
6,2412,0.744206770658493
7,2464,0.007458316087722778
7,2564,0.6699055206775665
7,2664,0.675536904335022
7,2764,0.6559382891654968
8,2816,0.0076276051998138425
8,2916,0.6143070420622826
8,3016,0.6146629139780998
8,3116,0.5836655080318451
9,3168,0.0064647173881530766
9,3268,0.552219306230545
9,3368,0.5488018441200256
9,3468,0.5487753695249558
10,3520,0.004494382739067077
10,3620,0.505614329278469
10,3720,0.5050317165255547
10,3820,0.5176896685361863
11,3872,0.00537150502204895
11,3972,0.4702178797125816
11,4072,0.47528183221817016
11,4172,0.48250261932611466
12,4224,0.00450627326965332
12,4324,0.45387095868587496
12,4424,0.45583448097109797
12,4524,0.4534961414337158
13,4576,0.004241031110286713
13,4676,0.4183719572424889
13,4776,0.421873931735754
13,4876,0.44673859387636183
14,4928,0.004321159720420837
14,5028,0.40068330317735673
14,5128,0.4092816424369812
14,5228,0.413958383500576
15,5280,0.0026443082094192503
15,5380,0.3704837217926979
15,5480,0.3903162308037281
15,5580,0.39243675023317337
16,5632,0.002632811963558197
16,5732,0.3665966448187828
16,5832,0.3799548850953579
16,5932,0.3653327818214893
17,5984,0.002789527773857117
17,6084,0.3516793340444565
17,6184,0.35687061280012133
17,6284,0.3599093608558178
18,6336,0.004347237050533295
18,6436,0.33126176133751867
18,6536,0.33536467209458354
18,6636,0.3504074378311634
19,6688,0.0024638783931732176
19,6788,0.32540384024381636
19,6888,0.3357083247601986
19,6988,0.35003237694501876
20,7040,0.0032369822263717653
20,7140,0.3132364372909069
20,7240,0.31781690374016763
20,7340,0.3226718656718731
21,7392,0.0036926403641700744
21,7492,0.29936295479536057
21,7592,0.3075689224898815
21,7692,0.3227797169983387
22,7744,0.0031347835063934328
22,7844,0.286900023072958
22,7944,0.2997877083718777
22,8044,0.3111666962504387
23,8096,0.0030393052101135255
23,8196,0.2743864314258099
23,8296,0.27509559497237207
23,8396,0.30628156021237374
24,8448,0.0023394086956977844
24,8548,0.26822936356067656
24,8648,0.2832262560725212
24,8748,0.29606621339917183
25,8800,0.001716359406709671
25,8900,0.27207702547311785
25,9000,0.2762235452234745
25,9100,0.2815015557408333
26,9152,0.0022801274061203004
26,9252,0.24680262222886085
26,9352,0.27697702750563624
26,9452,0.275097890496254
27,9504,0.0013409815728664398
27,9604,0.2543355529755354
27,9704,0.26277137741446494
27,9804,0.2574955931305885
28,9856,0.002386886179447174
28,9956,0.23778862550854682
28,10056,0.2560716753453016
28,10156,0.2547658298909664
29,10208,0.0024834735691547393
29,10308,0.23781147330999375
29,10408,0.25250192776322367
29,10508,0.2502857278287411
30,10560,0.001699867993593216
30,10660,0.22667896822094918
30,10760,0.2379296225309372
30,10860,0.2521875883638859
31,10912,0.0026211127638816833
31,11012,0.23671972930431365
31,11112,0.23141926795244216
31,11212,0.24465119339525698
32,11264,0.0033576920628547668
32,11364,0.21760147728025914
32,11464,0.23006043702363968
32,11564,0.24350367575883866
33,11616,0.0019713160395622253
33,11716,0.2110676684230566
33,11816,0.21342269346117973
33,11916,0.25809094712138175
34,11968,0.0027855753898620604
34,12068,0.21151319809257985
34,12168,0.22568727657198906
34,12268,0.22503715567290783
35,12320,0.0017938077449798583
35,12420,0.21071832045912742
35,12520,0.21615163661539555
35,12620,0.23291976995766162
36,12672,0.0012923344969749452
36,12772,0.1952673951536417
36,12872,0.22791336484253408
36,12972,0.2140380384773016
37,13024,0.0025742143392562867
37,13124,0.20362025804817677
37,13224,0.20814290389418602
37,13324,0.21753294751048088
38,13376,0.002112429589033127
38,13476,0.1940678459405899
38,13576,0.2238371206074953
38,13676,0.23126822926104068
39,13728,0.0013224142789840698
39,13828,0.19014868423342704
39,13928,0.197747740522027
39,14028,0.21942513704299926
40,14080,0.0024572187662124634
40,14180,0.19364410787820815
40,14280,0.19834921322762966
40,14380,0.21710255153477193
41,14432,0.0021571560204029084
41,14532,0.17847574658691884
41,14632,0.2127185571938753
41,14732,0.2101904159784317
42,14784,0.0014420782029628753
42,14884,0.1954754354804754
42,14984,0.18201323315501214
42,15084,0.2062533463537693
43,15136,0.0026506233215332032
43,15236,0.18422097735106946
