epoch,global_step,train/accuracy
0,353,0.4676222222222222
1,705,0.5677111111111112
2,1057,0.6566222222222222
3,1409,0.6903555555555555
4,1761,0.7142222222222222
5,2113,0.7480888888888889
6,2465,0.8078
7,2817,0.8018666666666666
8,3169,0.8227777777777778
9,3521,0.8156
10,3873,0.8320666666666666
11,4225,0.8037777777777778
12,4577,0.8248444444444445
13,4929,0.8500444444444445
14,5281,0.8649333333333333
15,5633,0.8526666666666667
16,5985,0.8553777777777778
17,6337,0.8389333333333333
18,6689,0.8616666666666667
19,7041,0.8684444444444445
20,7393,0.8711333333333333
21,7745,0.8462222222222222
22,8097,0.8621111111111112
23,8449,0.8781555555555556
24,8801,0.8531555555555556
25,9153,0.8873777777777778
26,9505,0.8913555555555556
27,9857,0.8782666666666666
28,10209,0.8761333333333333
29,10561,0.8907111111111111
30,10913,0.8885555555555555
31,11265,0.8727333333333334
32,11617,0.8731111111111111
33,11969,0.8926666666666667
34,12321,0.8840222222222223
35,12673,0.8797111111111111
36,13025,0.8503777777777778
37,13377,0.8797111111111111
38,13729,0.8971111111111111
39,14081,0.8922222222222222
40,14433,0.9062
41,14785,0.8783555555555556
42,15137,0.8930666666666667
43,15489,0.8763333333333333
44,15841,0.8956444444444445
45,16193,0.9073777777777777
46,16545,0.9105777777777778
47,16897,0.9084222222222222
48,17249,0.9153333333333333
49,17601,0.9283777777777777
50,17953,0.8973111111111111
51,18305,0.9226888888888889
52,18657,0.9186444444444445
53,19009,0.9133555555555556
54,19361,0.8937555555555555
55,19713,0.9104222222222222
56,20065,0.9151111111111111
57,20417,0.9026444444444445
58,20769,0.9179333333333334
59,21121,0.9035777777777778
60,21473,0.9183333333333333
61,21825,0.9284666666666667
62,22177,0.9264888888888889
63,22529,0.9090666666666667
64,22881,0.9172666666666667
65,23233,0.9178444444444445
66,23585,0.9153333333333333
67,23937,0.9236888888888889
68,24289,0.9201777777777778
69,24641,0.9176888888888889
70,24993,0.9307111111111112
71,25345,0.9141111111111111
72,25697,0.9251333333333334
73,26049,0.9173777777777777
74,26401,0.9049333333333334
75,26753,0.9086666666666666
76,27105,0.9170888888888888
77,27457,0.9134666666666666
78,27809,0.9071777777777777
79,28161,0.9764222222222222
80,28513,0.9828
81,28865,0.9848666666666667
82,29217,0.9861111111111112
83,29569,0.9878222222222223
84,29921,0.9883777777777778
85,30273,0.9907555555555555
86,30625,0.9908444444444444
87,30977,0.9926
88,31329,0.9927111111111111
89,31681,0.9928444444444444
90,32033,0.9933333333333333
91,32385,0.9939555555555556
92,32737,0.9942
93,33089,0.9946888888888888
94,33441,0.9955333333333334
95,33793,0.9962
96,34145,0.996
97,34497,0.9957777777777778
98,34849,0.9960888888888889
99,35201,0.9960222222222223
100,35553,0.9964444444444445
101,35905,0.9971777777777778
102,36257,0.9969333333333333
103,36609,0.9969777777777777
104,36961,0.9973333333333333
105,37313,0.9973777777777778
106,37665,0.9974666666666666
107,38017,0.9972
108,38369,0.9977333333333334
109,38721,0.9978
110,39073,0.9978
111,39425,0.9978
112,39777,0.9979555555555556
113,40129,0.9984888888888889
114,40481,0.9982444444444445
115,40833,0.9982222222222222
116,41185,0.9974444444444445
117,41537,0.9986
118,41889,0.9984888888888889
119,42241,0.9982444444444445
120,42593,0.9982444444444445
121,42945,0.9986666666666667
122,43297,0.9982
123,43649,0.9982
124,44001,0.9977333333333334
125,44353,0.9988444444444444
126,44705,0.9985777777777778
127,45057,0.9984
128,45409,0.9987333333333334
129,45761,0.9984
130,46113,0.9988888888888889
131,46465,0.9989333333333333
132,46817,0.9988888888888889
133,47169,0.9989777777777777
134,47521,0.9985333333333334
135,47873,0.9991777777777778
136,48225,0.9993333333333333
137,48577,0.9993555555555556
138,48929,0.9994444444444445
139,49281,0.9996
140,49633,0.9995555555555555
141,49985,0.9995555555555555
142,50337,0.9995777777777778
143,50689,0.9995111111111111
144,51041,0.9996
145,51393,0.9996444444444444
146,51745,0.9994444444444445
147,52097,0.9996888888888888
148,52449,0.9994666666666666
149,52801,0.9996444444444444
150,53153,0.9997111111111111
151,53505,0.9996
152,53857,0.9997111111111111
153,54209,0.9995777777777778
154,54561,0.9996222222222222
155,54913,0.9996666666666667
156,55265,0.9997777777777778
157,55617,0.9995777777777778
158,55969,0.9998444444444444
159,56321,0.9997333333333334
160,56673,0.9998666666666667
161,57025,0.9998
162,57377,0.9996666666666667
163,57729,0.9996666666666667
164,58081,0.9996888888888888
165,58433,0.9997777777777778
166,58785,0.9998222222222222
167,59137,0.9997777777777778
168,59489,0.9997555555555555
169,59841,0.9996444444444444
170,60193,0.9997777777777778
171,60545,0.9998222222222222
172,60897,0.9997777777777778
173,61249,0.9997555555555555
174,61601,0.9998444444444444
175,61953,0.9998
176,62305,0.9996222222222222
177,62657,0.9998444444444444
178,63009,0.9996888888888888
179,63361,0.9998222222222222
180,63713,0.9997777777777778
181,64065,0.9998444444444444
182,64417,0.9998
183,64769,0.9998
184,65121,0.9998
