epoch,global_step,running_loss
0,0,0.026773664951324463
0,100,2.808188636302948
0,200,2.3046328043937683
0,300,2.304790713787079
1,352,0.023113603591918944
1,452,2.304365382194519
1,552,2.304171209335327
1,652,2.304141435623169
2,704,0.023028130531311034
2,804,2.304205319881439
2,904,2.3036746096611025
2,1004,2.3043599486351014
3,1056,0.022997241020202636
3,1156,2.3041738486289978
3,1256,2.3044196152687073
3,1356,2.3030165338516237
4,1408,0.023020949363708496
4,1508,2.3010907793045043
4,1608,2.301290934085846
4,1708,2.3044963264465332
5,1760,0.023114962577819823
5,1860,2.294806189537048
5,1960,2.269318873882294
5,2060,2.1525904941558838
6,2112,0.02082169532775879
6,2212,1.9917127466201783
6,2312,1.9018486881256103
6,2412,1.8285088896751405
7,2464,0.01825948238372803
7,2564,1.7585413348674774
7,2664,1.6922285437583924
7,2764,1.6656779539585114
8,2816,0.015599206686019898
8,2916,1.5916001284122467
8,3016,1.5191914880275725
8,3116,1.452148996591568
9,3168,0.013908466100692749
9,3268,1.3614061522483825
9,3368,1.3085060125589372
9,3468,1.2424419379234315
10,3520,0.012563772201538086
10,3620,1.151785095334053
10,3720,1.0940523928403854
10,3820,1.0645345067977905
11,3872,0.009386432766914367
11,3972,1.0062471914291382
11,4072,0.9516674053668975
11,4172,0.9454020404815674
12,4224,0.010375632047653198
12,4324,0.8951560473442077
12,4424,0.8575062549114227
12,4524,0.8296730136871338
13,4576,0.008262352347373962
13,4676,0.7818892908096313
13,4776,0.7641396513581276
13,4876,0.7453428524732589
14,4928,0.00721152126789093
14,5028,0.6936171090602875
14,5128,0.6875157338380814
14,5228,0.6738651531934738
15,5280,0.003894660174846649
15,5380,0.6480722621083259
15,5480,0.6259627786278724
15,5580,0.6122158622741699
16,5632,0.005356870889663697
16,5732,0.5860600563883781
16,5832,0.5984520772099495
16,5932,0.5793750423192978
17,5984,0.006188966035842895
17,6084,0.5436038011312485
17,6184,0.5580518960952758
17,6284,0.5290353426337242
18,6336,0.00435718446969986
18,6436,0.5243387269973755
18,6536,0.5104849529266358
18,6636,0.5159603706002236
19,6688,0.004305188059806824
19,6788,0.4962678474187851
19,6888,0.49414694398641584
19,6988,0.48390534818172454
20,7040,0.005457028746604919
20,7140,0.4556968632340431
20,7240,0.4816528657078743
20,7340,0.46425110787153245
21,7392,0.005932408571243286
21,7492,0.44101584315299985
21,7592,0.4447364091873169
21,7692,0.45885488092899324
22,7744,0.005038176774978638
22,7844,0.43566981464624405
22,7944,0.42422351717948914
22,8044,0.42857246458530424
23,8096,0.002748503088951111
23,8196,0.4064617717266083
23,8296,0.39770993769168855
23,8396,0.4203427475690842
24,8448,0.0038158765435218813
24,8548,0.3836654157936573
24,8648,0.3937776678800583
24,8748,0.3970322297513485
25,8800,0.0035640329122543337
25,8900,0.37603481382131576
25,9000,0.3987960523366928
25,9100,0.39558984965085986
26,9152,0.003033865988254547
26,9252,0.3573101489245892
26,9352,0.38096918106079103
26,9452,0.3729945945739746
27,9504,0.0037004703283309934
27,9604,0.3637604434788227
27,9704,0.3769954138994217
27,9804,0.3661552768945694
28,9856,0.003976983428001404
28,9956,0.3759667880833149
28,10056,0.3447312988340855
28,10156,0.3749724845588207
29,10208,0.0025130847096443178
29,10308,0.3318514716625214
29,10408,0.34519308879971505
29,10508,0.34789189741015436
30,10560,0.0030395379662513733
30,10660,0.32341710060834883
30,10760,0.3252451214194298
30,10860,0.32819417893886565
31,10912,0.0023737242817878723
31,11012,0.3057523687183857
31,11112,0.32567389324307444
31,11212,0.31267768517136574
32,11264,0.0031109300255775453
32,11364,0.29057105228304864
32,11464,0.3103164152801037
32,11564,0.31702768385410307
33,11616,0.0035551494359970094
33,11716,0.2762033747136593
33,11816,0.2997294455766678
33,11916,0.30611837983131407
34,11968,0.002225077599287033
34,12068,0.2813496161997318
34,12168,0.3038918264210224
34,12268,0.3022532519698143
35,12320,0.0022968554496765135
35,12420,0.2719334773719311
35,12520,0.28909135892987253
35,12620,0.2868281066417694
36,12672,0.003609563410282135
36,12772,0.26969266042113305
36,12872,0.26585819825530055
36,12972,0.28327041417360305
37,13024,0.0025088679790496826
37,13124,0.25388173207640646
37,13224,0.28942801550030706
37,13324,0.27188210532069207
38,13376,0.003730106353759766
38,13476,0.24849309384822846
38,13576,0.2681486874818802
38,13676,0.2764931412786245
39,13728,0.0015608550608158113
39,13828,0.2458656510710716
39,13928,0.2593615575134754
39,14028,0.2688149121403694
40,14080,0.003206219971179962
40,14180,0.24436941236257553
40,14280,0.25815926760435104
40,14380,0.26627607688307764
41,14432,0.0019220441579818725
41,14532,0.2377321831882
41,14632,0.25746220976114276
41,14732,0.2641062191128731
42,14784,0.0019735927879810334
42,14884,0.23526013031601906
42,14984,0.24586856946349145
42,15084,0.2564651957899332
43,15136,0.0015671232342720032
43,15236,0.23489173844456673
43,15336,0.24473038509488107
43,15436,0.24481671094894408
44,15488,0.00221672922372818
44,15588,0.23129120372235776
44,15688,0.2396994960308075
44,15788,0.24085084840655327
45,15840,0.0022123363614082337
45,15940,0.21713522538542748
45,16040,0.2373418275266886
45,16140,0.2580419912934303
46,16192,0.0021631930768489837
46,16292,0.22246754437685012
46,16392,0.2513347715884447
46,16492,0.23965729504823685
47,16544,0.002757025957107544
47,16644,0.2074299544095993
47,16744,0.23893132358789443
47,16844,0.23609419018030167
48,16896,0.003321954309940338
48,16996,0.20880673974752426
48,17096,0.22824354387819767
48,17196,0.24595929220318793
