epoch,global_step,loss
0,0,2.6773664951324463
0,100,2.3036844730377197
0,200,2.3080503940582275
0,300,2.312333822250366
1,352,2.3113603591918945
1,452,2.310574769973755
1,552,2.3034470081329346
1,652,2.2985246181488037
2,704,2.3028130531311035
2,804,2.30297589302063
2,904,2.312742233276367
2,1004,2.3078112602233887
3,1056,2.2997241020202637
3,1156,2.30444073677063
3,1256,2.3119399547576904
3,1356,2.299502372741699
4,1408,2.3020949363708496
4,1508,2.296916961669922
4,1608,2.2980997562408447
4,1708,2.301206111907959
5,1760,2.3114962577819824
5,1860,2.2854411602020264
5,1960,2.1784448623657227
5,2060,2.097463846206665
6,2112,2.082169532775879
6,2212,1.9113527536392212
6,2312,1.8483084440231323
6,2412,1.7724242210388184
7,2464,1.8259482383728027
7,2564,1.8107521533966064
7,2664,1.8225501775741577
7,2764,1.66580069065094
8,2816,1.5599206686019897
8,2916,1.513520359992981
8,3016,1.4444167613983154
8,3116,1.5804133415222168
9,3168,1.390846610069275
9,3268,1.275341272354126
9,3368,1.3607165813446045
9,3468,1.2020705938339233
10,3520,1.2563772201538086
10,3620,1.2099049091339111
10,3720,1.0162166357040405
10,3820,1.0238673686981201
11,3872,0.9386432766914368
11,3972,0.945622444152832
11,4072,0.8987271785736084
11,4172,1.0010457038879395
12,4224,1.0375632047653198
12,4324,0.7902609705924988
12,4424,1.113410234451294
12,4524,0.7358623743057251
13,4576,0.8262352347373962
13,4676,0.7866706252098083
13,4776,0.8324649930000305
13,4876,0.6038941144943237
14,4928,0.721152126789093
14,5028,0.6583032011985779
14,5128,0.5337657928466797
14,5228,0.5772702097892761
15,5280,0.3894660174846649
15,5380,0.6900433897972107
15,5480,0.48093152046203613
15,5580,0.42397063970565796
16,5632,0.5356870889663696
16,5732,0.5187031030654907
16,5832,0.5713613629341125
16,5932,0.7494906187057495
17,5984,0.6188966035842896
17,6084,0.4285079836845398
17,6184,0.4671896994113922
17,6284,0.4766368567943573
18,6336,0.43571844696998596
18,6436,0.538414716720581
18,6536,0.44206252694129944
18,6636,0.5036442875862122
19,6688,0.4305188059806824
19,6788,0.5639396905899048
19,6888,0.7493453621864319
19,6988,0.5743154287338257
20,7040,0.5457028746604919
20,7140,0.3699837923049927
20,7240,0.42168620228767395
20,7340,0.4862878918647766
21,7392,0.5932408571243286
21,7492,0.4413747787475586
21,7592,0.52118980884552
21,7692,0.5330093502998352
22,7744,0.5038176774978638
22,7844,0.5104665160179138
22,7944,0.27810850739479065
22,8044,0.4115155041217804
23,8096,0.2748503088951111
23,8196,0.3579849600791931
23,8296,0.5009543299674988
23,8396,0.4756152033805847
24,8448,0.3815876543521881
24,8548,0.41815948486328125
24,8648,0.35234639048576355
24,8748,0.47956138849258423
25,8800,0.35640329122543335
25,8900,0.264413982629776
25,9000,0.3429270386695862
25,9100,0.4130760431289673
26,9152,0.3033865988254547
26,9252,0.33786845207214355
26,9352,0.3574027121067047
26,9452,0.33189958333969116
27,9504,0.37004703283309937
27,9604,0.4106479585170746
27,9704,0.2896101176738739
27,9804,0.4178614318370819
28,9856,0.3976983428001404
28,9956,0.3654494881629944
28,10056,0.3864932358264923
28,10156,0.4661107659339905
29,10208,0.25130847096443176
29,10308,0.41050082445144653
29,10408,0.4281242787837982
29,10508,0.5477102994918823
30,10560,0.30395379662513733
30,10660,0.3391948640346527
30,10760,0.35251104831695557
30,10860,0.2931540012359619
31,10912,0.23737242817878723
31,11012,0.2232452929019928
31,11112,0.2776584327220917
31,11212,0.2873033285140991
32,11264,0.3110930025577545
32,11364,0.24977973103523254
32,11464,0.3328056335449219
32,11564,0.24377289414405823
33,11616,0.3555149435997009
33,11716,0.3115096092224121
33,11816,0.3599357008934021
33,11916,0.21237067878246307
34,11968,0.2225077599287033
34,12068,0.255472332239151
34,12168,0.3311677873134613
34,12268,0.35493069887161255
35,12320,0.22968554496765137
35,12420,0.3108823597431183
35,12520,0.28661495447158813
35,12620,0.2300184965133667
36,12672,0.3609563410282135
36,12772,0.2889293432235718
36,12872,0.20584504306316376
36,12972,0.35884660482406616
37,13024,0.25088679790496826
37,13124,0.23966212570667267
37,13224,0.23680824041366577
37,13324,0.2916734218597412
38,13376,0.37301063537597656
38,13476,0.29276102781295776
38,13576,0.21806354820728302
38,13676,0.4235104024410248
39,13728,0.15608550608158112
39,13828,0.34072282910346985
39,13928,0.2803018093109131
39,14028,0.23800970613956451
40,14080,0.3206219971179962
40,14180,0.1644705981016159
40,14280,0.24952206015586853
40,14380,0.2460608184337616
41,14432,0.19220441579818726
41,14532,0.23689818382263184
41,14632,0.23324644565582275
41,14732,0.21657821536064148
42,14784,0.19735927879810333
42,14884,0.22472862899303436
42,14984,0.2630250155925751
42,15084,0.29451775550842285
43,15136,0.15671232342720032
43,15236,0.3111940026283264
43,15336,0.205643430352211
43,15436,0.23701483011245728
44,15488,0.221672922372818
44,15588,0.29079848527908325
44,15688,0.1542745977640152
44,15788,0.326815128326416
45,15840,0.22123363614082336
45,15940,0.26323583722114563
45,16040,0.17787599563598633
45,16140,0.22446970641613007
46,16192,0.21631930768489838
46,16292,0.12035790830850601
46,16392,0.24317461252212524
46,16492,0.2787577509880066
47,16544,0.2757025957107544
47,16644,0.2134951651096344
47,16744,0.167361319065094
47,16844,0.27450472116470337
48,16896,0.3321954309940338
48,16996,0.14334969222545624
48,17096,0.21239402890205383
48,17196,0.32553941011428833
49,17248,0.12930168211460114
49,17348,0.14700326323509216
49,17448,0.17374977469444275
49,17548,0.24548420310020447
50,17600,0.18706148862838745
50,17700,0.21453791856765747
50,17800,0.18527333438396454
50,17900,0.327823281288147
51,17952,0.17689067125320435
51,18052,0.19136565923690796
51,18152,0.26437729597091675
51,18252,0.24968111515045166
52,18304,0.18689046800136566
52,18404,0.11769233644008636
52,18504,0.20373207330703735
52,18604,0.3161425292491913
53,18656,0.26713669300079346
53,18756,0.15332964062690735
53,18856,0.18902644515037537
53,18956,0.16020922362804413
54,19008,0.15988855063915253
54,19108,0.13321952521800995
54,19208,0.17193520069122314
54,19308,0.16909313201904297
55,19360,0.39526984095573425
55,19460,0.24975834786891937
55,19560,0.22351832687854767
55,19660,0.1023845225572586
56,19712,0.11231869459152222
56,19812,0.12114138901233673
56,19912,0.2545666992664337
56,20012,0.14316809177398682
57,20064,0.11591774970293045
57,20164,0.2205514907836914
57,20264,0.2226298749446869
57,20364,0.16330353915691376
58,20416,0.23271137475967407
58,20516,0.20950844883918762
58,20616,0.2204534411430359
58,20716,0.25245940685272217
59,20768,0.1654510200023651
59,20868,0.1813490390777588
59,20968,0.2677997052669525
59,21068,0.3006236255168915
60,21120,0.1209113672375679
60,21220,0.19859054684638977
60,21320,0.21980394423007965
60,21420,0.1935809701681137
61,21472,0.11834926903247833
61,21572,0.10742812603712082
61,21672,0.19933706521987915
61,21772,0.1988614946603775
62,21824,0.2433849573135376
62,21924,0.14472758769989014
62,22024,0.17594420909881592
62,22124,0.10722830146551132
63,22176,0.14983418583869934
63,22276,0.17541110515594482
63,22376,0.1633257269859314
63,22476,0.19728881120681763
64,22528,0.13197064399719238
64,22628,0.25659579038619995
64,22728,0.2331012338399887
64,22828,0.19149431586265564
65,22880,0.24339137971401215
65,22980,0.13673199713230133
65,23080,0.1579122394323349
65,23180,0.24695944786071777
66,23232,0.12290385365486145
66,23332,0.19273556768894196
