epoch,global_step,running_loss
0,0,0.029565634727478026
0,100,2.6114192485809324
0,200,2.2991432404518126
0,300,2.294551742076874
1,352,0.02304708242416382
1,452,2.2797467517852783
1,552,2.2327291536331177
1,652,2.0559245026111603
2,704,0.020413551330566406
2,804,1.8266340756416322
2,904,1.7334880971908568
2,1004,1.6383490777015686
3,1056,0.015973207950592042
3,1156,1.5422581434249878
3,1256,1.4867432641983032
3,1356,1.414936327934265
4,1408,0.013909281492233276
4,1508,1.3014823877811432
4,1608,1.2125076818466187
4,1708,1.1688176089525222
5,1760,0.00984463632106781
5,1860,1.0750403302907943
5,1960,1.0281961923837661
5,2060,0.9595739132165909
6,2112,0.009654664993286132
6,2212,0.8922783529758453
6,2312,0.8533727210760117
6,2412,0.8581623184680939
7,2464,0.006005312800407409
7,2564,0.7801572281122208
7,2664,0.7581671208143235
7,2764,0.7416028991341591
8,2816,0.006802187561988831
8,2916,0.6863616845011711
8,3016,0.6718296751379966
8,3116,0.6564258000254631
9,3168,0.007323014736175537
9,3268,0.6406171932816506
9,3368,0.6133015167713165
9,3468,0.6039749464392662
10,3520,0.005909278392791748
10,3620,0.5563408741354943
10,3720,0.5772679445147514
10,3820,0.5732128584384918
11,3872,0.005814913511276245
11,3972,0.5404332536458969
11,4072,0.5193887463212014
11,4172,0.5232749211788178
12,4224,0.004430017471313477
12,4324,0.4902692461013794
12,4424,0.49512756496667865
12,4524,0.48843594700098036
13,4576,0.0036336886882781983
13,4676,0.45810392528772353
13,4776,0.4501976402103901
13,4876,0.46590066581964495
14,4928,0.005594923496246338
14,5028,0.4442148861289024
14,5128,0.43448839902877806
14,5228,0.4371244090795517
15,5280,0.004824022054672241
15,5380,0.4003277595341206
15,5480,0.4194299581646919
15,5580,0.42946166440844535
16,5632,0.004218553006649017
16,5732,0.3787148186564446
16,5832,0.3987941516935825
16,5932,0.4039140546321869
17,5984,0.0033377251029014588
17,6084,0.3650534792244434
17,6184,0.38236514732241633
17,6284,0.3854122264683247
