epoch,global_step,running_loss
0,0,0.026121604442596435
0,100,2.6059084820747374
0,200,2.182244505882263
0,300,2.070402352809906
1,352,0.02078390121459961
1,452,1.9409089851379395
1,552,1.8076713621616363
1,652,1.7047221910953523
2,704,0.016560578346252443
2,804,1.5900195133686066
2,904,1.5002378344535827
2,1004,1.4112443542480468
3,1056,0.011756235361099243
3,1156,1.2447764313220977
3,1256,1.186855572462082
3,1356,1.1174287313222886
4,1408,0.010786945819854737
4,1508,1.0055591756105422
4,1608,0.9644407612085343
4,1708,0.9286568909883499
5,1760,0.009198347330093384
5,1860,0.8503766471147537
5,1960,0.8236625403165817
5,2060,0.7758499532938004
6,2112,0.006647306084632873
6,2212,0.7248519080877304
6,2312,0.715794390141964
6,2412,0.7121739014983177
7,2464,0.007281533479690552
7,2564,0.6559663105010987
7,2664,0.6550225535035133
7,2764,0.643508894443512
8,2816,0.005336238145828247
8,2916,0.6076609173417091
8,3016,0.5866747176647187
8,3116,0.5899129861593246
9,3168,0.005572245121002197
9,3268,0.5519473153352737
9,3368,0.5460604423284531
9,3468,0.5460964256525039
10,3520,0.004974491000175476
10,3620,0.512525372505188
10,3720,0.5150606027245521
10,3820,0.5130736237764358
11,3872,0.00400116354227066
11,3972,0.48013569444417953
11,4072,0.4718159380555153
11,4172,0.4847411355376244
12,4224,0.0044171494245529175
12,4324,0.46351220935583115
12,4424,0.47502831131219864
12,4524,0.46937052041292193
13,4576,0.0045373675227165225
13,4676,0.4424437806010246
13,4776,0.43439178794622424
13,4876,0.4421624365448952
14,4928,0.00424019455909729
14,5028,0.41558330550789835
14,5128,0.4207888375222683
14,5228,0.41788888394832613
15,5280,0.004557482302188874
15,5380,0.3990215721726418
15,5480,0.4043842822313309
15,5580,0.4035512532293797
16,5632,0.004021856188774109
16,5732,0.3810798990726471
16,5832,0.38535823956131937
16,5932,0.387011701464653
17,5984,0.003253607451915741
17,6084,0.36803838446736337
17,6184,0.36998258128762246
17,6284,0.37812587872147563
18,6336,0.0036140388250350953
18,6436,0.3515969802439213
18,6536,0.36512956097722055
18,6636,0.3584950461983681
19,6688,0.004945517182350158
19,6788,0.32745577082037924
19,6888,0.3449505080282688
19,6988,0.3499010269343853
20,7040,0.0031914576888084412
20,7140,0.3238792607188225
20,7240,0.3445696626603603
20,7340,0.34241069927811624
21,7392,0.0039159637689590455
21,7492,0.32061026319861413
21,7592,0.32848629370331767
21,7692,0.3270383773744106
22,7744,0.0025626665353775026
22,7844,0.3051449370384216
22,7944,0.3207825255393982
22,8044,0.31870940431952477
23,8096,0.0036470893025398253
23,8196,0.30190866470336913
23,8296,0.3193256504833698
23,8396,0.320109111815691
24,8448,0.0022073861956596373
24,8548,0.2927959255874157
24,8648,0.2945603063702583
24,8748,0.3092073146998882
25,8800,0.0035958746075630188
25,8900,0.28083957567811013
25,9000,0.28892367362976074
25,9100,0.30354146152734757
26,9152,0.002783384621143341
26,9252,0.27050314739346504
26,9352,0.27371366634964944
26,9452,0.29936579525470736
27,9504,0.0030780547857284547
27,9604,0.2734408639371395
27,9704,0.27672508649528027
27,9804,0.2878832209855318
28,9856,0.0025164198875427244
28,9956,0.26078086867928507
28,10056,0.2850757218897343
28,10156,0.28086859956383703
29,10208,0.003268022835254669
29,10308,0.26102249391376975
29,10408,0.27034583695232867
29,10508,0.27194278329610827
30,10560,0.0022776666283607482
30,10660,0.24993480145931243
30,10760,0.2509634613990784
30,10860,0.2775785958766937
31,10912,0.002282278388738632
31,11012,0.2393008416891098
31,11112,0.27978523157536983
31,11212,0.2612816601991653
32,11264,0.003610415160655975
32,11364,0.23821180276572704
32,11464,0.24825066596269607
32,11564,0.2543409513682127
33,11616,0.0031332308053970337
33,11716,0.2387275253981352
33,11816,0.23290065430104734
33,11916,0.2561343720555305
34,11968,0.0023149241507053374
34,12068,0.2314147436618805
34,12168,0.24754239857196808
34,12268,0.2505995486676693
35,12320,0.0031340381503105162
35,12420,0.22992083080112935
35,12520,0.23778921365737915
35,12620,0.24152494475245476
36,12672,0.0012832061946392059
36,12772,0.2300056502223015
36,12872,0.24368477061390878
36,12972,0.24570591002702713
37,13024,0.0030291241407394407
37,13124,0.22267918340861798
37,13224,0.24209745205938815
37,13324,0.2346850597113371
38,13376,0.0023936638236045837
38,13476,0.20869522728025913
38,13576,0.2269248193502426
38,13676,0.235859107747674
39,13728,0.001935587227344513
39,13828,0.22226916119456291
39,13928,0.22410085126757623
39,14028,0.23456838123500348
40,14080,0.0021994969248771666
