epoch,global_step,loss
0,0,3.4473071098327637
0,100,2.243926763534546
0,200,2.1561789512634277
0,300,1.9279600381851196
1,352,1.9742752313613892
1,452,1.934008240699768
1,552,1.7821556329727173
1,652,1.683215618133545
2,704,1.676930546760559
2,804,1.6228619813919067
2,904,1.429181694984436
2,1004,1.513959288597107
3,1056,1.4881341457366943
3,1156,1.5418460369110107
3,1256,1.3927867412567139
3,1356,1.4214613437652588
4,1408,1.4937303066253662
4,1508,1.3898392915725708
4,1608,1.1733595132827759
4,1708,1.3002766370773315
5,1760,1.119705080986023
5,1860,1.0605275630950928
5,1960,1.0973422527313232
5,2060,1.0446417331695557
6,2112,1.0240416526794434
6,2212,0.9445650577545166
6,2312,0.9311151504516602
6,2412,0.8711114525794983
7,2464,0.6964669227600098
7,2564,0.9037554264068604
7,2664,1.0612280368804932
7,2764,0.717514157295227
8,2816,0.805709719657898
8,2916,0.5766770243644714
8,3016,0.6166565418243408
8,3116,0.7198132872581482
9,3168,0.6360553503036499
9,3268,0.728371798992157
9,3368,0.7232509255409241
9,3468,0.791214108467102
10,3520,0.5231525301933289
10,3620,0.751872181892395
10,3720,0.5580875277519226
10,3820,0.5500505566596985
11,3872,0.5071232318878174
11,3972,0.5401514172554016
11,4072,0.49923092126846313
11,4172,0.556941568851471
12,4224,0.6681272387504578
12,4324,0.4107782244682312
12,4424,0.5686643719673157
12,4524,0.6214456558227539
13,4576,0.41031408309936523
13,4676,0.35831117630004883
13,4776,0.36768949031829834
13,4876,0.5688551664352417
14,4928,0.3971916735172272
14,5028,0.43442586064338684
14,5128,0.43568941950798035
14,5228,0.5092187523841858
15,5280,0.36550524830818176
15,5380,0.37503916025161743
15,5480,0.45025911927223206
15,5580,0.3976322412490845
16,5632,0.45342034101486206
16,5732,0.46819260716438293
16,5832,0.41148388385772705
16,5932,0.3861711025238037
17,5984,0.4300212562084198
17,6084,0.290518581867218
17,6184,0.41220590472221375
17,6284,0.25532498955726624
18,6336,0.4466668367385864
18,6436,0.40534722805023193
18,6536,0.35737109184265137
18,6636,0.3350117802619934
19,6688,0.3719349503517151
19,6788,0.30307772755622864
19,6888,0.3591673970222473
19,6988,0.29648837447166443
20,7040,0.2995435893535614
20,7140,0.432086318731308
20,7240,0.5088917016983032
20,7340,0.2705257833003998
21,7392,0.4479982554912567
21,7492,0.3892490267753601
21,7592,0.2772965431213379
21,7692,0.3079921007156372
22,7744,0.3544987440109253
22,7844,0.2787019610404968
22,7944,0.3336295485496521
22,8044,0.34584489464759827
23,8096,0.37482988834381104
23,8196,0.3338559567928314
23,8296,0.3112586438655853
23,8396,0.34076255559921265
24,8448,0.43432140350341797
24,8548,0.28368234634399414
24,8648,0.2965608537197113
24,8748,0.33118006587028503
25,8800,0.30034369230270386
25,8900,0.3281647562980652
25,9000,0.39692139625549316
25,9100,0.335483193397522
26,9152,0.19400054216384888
26,9252,0.18014061450958252
26,9352,0.2617610991001129
26,9452,0.35329362750053406
27,9504,0.28619512915611267
27,9604,0.34482067823410034
27,9704,0.3109731674194336
27,9804,0.2551809251308441
28,9856,0.26164695620536804
28,9956,0.24649709463119507
28,10056,0.19531410932540894
28,10156,0.3436881899833679
29,10208,0.23068144917488098
29,10308,0.2076759785413742
29,10408,0.46965137124061584
29,10508,0.20537057518959045
30,10560,0.3303118944168091
30,10660,0.1972600221633911
30,10760,0.26212623715400696
30,10860,0.17192433774471283
31,10912,0.2603457570075989
31,11012,0.29087013006210327
31,11112,0.34528985619544983
31,11212,0.2589666247367859
32,11264,0.1872234344482422
32,11364,0.26882943511009216
32,11464,0.14803718030452728
32,11564,0.1588023602962494
33,11616,0.28645244240760803
33,11716,0.34687575697898865
33,11816,0.18147671222686768
33,11916,0.3506753146648407
34,11968,0.30380770564079285
34,12068,0.30386149883270264
34,12168,0.3770731985569
34,12268,0.29497256875038147
35,12320,0.2891542613506317
35,12420,0.2928687334060669
35,12520,0.1677459478378296
35,12620,0.380768746137619
36,12672,0.21118581295013428
36,12772,0.27086204290390015
36,12872,0.2284233719110489
36,12972,0.18880623579025269
37,13024,0.2753264904022217
37,13124,0.21847598254680634
37,13224,0.17324401438236237
37,13324,0.32262828946113586
38,13376,0.2720319330692291
38,13476,0.20291432738304138
38,13576,0.24840760231018066
38,13676,0.1815759688615799
