epoch,global_step,running_loss
0,0,0.02879707098007202
0,100,2.4359120297431947
0,200,2.0797255384922027
0,300,1.906187243461609
1,352,0.01758435368537903
1,452,1.7091280817985535
1,552,1.6171501672267914
1,652,1.563055237531662
2,704,0.014989877939224244
2,804,1.4135663509368896
2,904,1.3268880808353425
2,1004,1.2383088600635528
3,1056,0.01027275323867798
3,1156,1.1025133287906648
3,1256,1.0332596760988235
3,1356,0.9691152691841125
4,1408,0.008879523277282714
4,1508,0.8794955611228943
4,1608,0.8503812843561173
4,1708,0.821729975938797
5,1760,0.008045814633369446
5,1860,0.7603899890184402
5,1960,0.725776516199112
5,2060,0.7180240947008133
6,2112,0.0075561201572418215
6,2212,0.6519927456974983
6,2312,0.6653668546676635
6,2412,0.6626956194639206
7,2464,0.005661720037460327
7,2564,0.6120302027463913
7,2664,0.5960874158143997
7,2764,0.5967105877399445
8,2816,0.004213936328887939
8,2916,0.5503490024805069
8,3016,0.5582904541492462
8,3116,0.5500439429283142
9,3168,0.005788499116897583
9,3268,0.5116668808460235
9,3368,0.522424372434616
9,3468,0.5184479084610939
10,3520,0.005713461637496948
10,3620,0.4913065049052239
10,3720,0.4896959942579269
10,3820,0.47777770429849625
11,3872,0.00573027491569519
11,3972,0.4631222394108772
11,4072,0.452426064312458
11,4172,0.4684649336338043
12,4224,0.005009496808052063
12,4324,0.42687456756830217
12,4424,0.43384403482079503
12,4524,0.4375291430950165
13,4576,0.002892485558986664
13,4676,0.4150370332598686
13,4776,0.4270362935960293
13,4876,0.41795576810836793
14,4928,0.003951039910316467
14,5028,0.37985093221068383
14,5128,0.40442204028367995
14,5228,0.41093404829502106
15,5280,0.003987864851951599
15,5380,0.38237193375825884
15,5480,0.3787281370162964
15,5580,0.395733247846365
16,5632,0.004632291197776794
16,5732,0.36322152957320214
16,5832,0.36903782457113266
16,5932,0.3769241566956043
17,5984,0.0032190421223640443
17,6084,0.34207490444183347
17,6184,0.38088655069470406
17,6284,0.3635205727815628
18,6336,0.0028887951374053956
18,6436,0.3289159032702446
18,6536,0.3418033246695995
18,6636,0.3502760010957718
19,6688,0.003481588959693909
19,6788,0.33413263350725175
19,6888,0.331029105335474
19,6988,0.3375964766740799
20,7040,0.00305850088596344
20,7140,0.3271885362267494
20,7240,0.3363709633052349
20,7340,0.32658230781555175
21,7392,0.0029942411184310912
21,7492,0.30505899310112
21,7592,0.31672798216342923
21,7692,0.32408551514148715
22,7744,0.0031086912751197814
22,7844,0.2946647976338863
22,7944,0.29970879554748536
22,8044,0.31609163418412206
23,8096,0.0027775645256042482
23,8196,0.2876847431063652
23,8296,0.3097875897586346
23,8396,0.3221981844305992
24,8448,0.002042166292667389
24,8548,0.299189283400774
24,8648,0.28883160069584846
24,8748,0.30621099695563314
25,8800,0.002753615379333496
25,8900,0.2874436691403389
25,9000,0.2901564483344555
25,9100,0.30642909213900565
26,9152,0.002080300897359848
26,9252,0.2751034075021744
26,9352,0.2799398230016232
26,9452,0.29851566106081007
27,9504,0.0023393690586090087
27,9604,0.27213222593069075
27,9704,0.2773632963001728
27,9804,0.2876543764770031
28,9856,0.002347828447818756
28,9956,0.2629164166748524
28,10056,0.2629507941007614
28,10156,0.28259589821100234
29,10208,0.002355668097734451
29,10308,0.2587790107727051
29,10408,0.2641071500629187
29,10508,0.2713749065995216
30,10560,0.002163465470075607
30,10660,0.26869645446538926
30,10760,0.2596940765529871
30,10860,0.2673115323483944
31,10912,0.003039780855178833
31,11012,0.24263553068041802
31,11112,0.26586732029914856
31,11212,0.2548379097878933
32,11264,0.0027485087513923643
32,11364,0.25413913756608963
32,11464,0.2520519122481346
32,11564,0.24903492450714113
33,11616,0.0025983327627182007
33,11716,0.2507581974565983
33,11816,0.2507902366667986
33,11916,0.2505234245955944
34,11968,0.002524878978729248
34,12068,0.23777211748063565
34,12168,0.2541288848221302
34,12268,0.2511281435191631
35,12320,0.0019980378448963164
35,12420,0.22810937531292438
35,12520,0.2305006918311119
35,12620,0.25528343886137006
36,12672,0.001600271314382553
36,12772,0.22589669853448868
36,12872,0.24224576465785502
36,12972,0.2424895701557398
37,13024,0.0027989569306373597
37,13124,0.22853001564741135
37,13224,0.2292846731841564
37,13324,0.2489279107004404
38,13376,0.0028873246908187864
38,13476,0.22446496650576592
38,13576,0.23031908825039862
38,13676,0.25387760654091834
39,13728,0.003445961773395538
39,13828,0.22528408966958524
39,13928,0.22333992920815945
39,14028,0.2342274582386017
40,14080,0.0019245222210884094
40,14180,0.20694608725607394
40,14280,0.21548920929431914
40,14380,0.23551246508955956
41,14432,0.002192738503217697
41,14532,0.21650757677853108
41,14632,0.23320110246539116
41,14732,0.23672102719545365
42,14784,0.0026858046650886534
42,14884,0.2002380046993494
42,14984,0.2172950033098459
42,15084,0.22057007007300855
