epoch,global_step,train/accuracy
0,353,0.436
1,705,0.5772444444444444
2,1057,0.6137777777777778
3,1409,0.6946222222222223
4,1761,0.7297777777777777
5,2113,0.7729333333333334
6,2465,0.7807777777777778
7,2817,0.7952222222222223
8,3169,0.8217333333333333
9,3521,0.8188
10,3873,0.8313555555555555
11,4225,0.8212222222222222
12,4577,0.8294444444444444
13,4929,0.8442666666666667
14,5281,0.8554888888888889
15,5633,0.859
16,5985,0.8526888888888889
17,6337,0.8271777777777778
18,6689,0.8534444444444444
19,7041,0.8698444444444444
20,7393,0.8715111111111111
21,7745,0.8899555555555556
22,8097,0.8580666666666666
23,8449,0.8840222222222223
24,8801,0.8708666666666667
25,9153,0.8778
26,9505,0.8504888888888888
27,9857,0.8722666666666666
28,10209,0.8998
29,10561,0.8634444444444445
30,10913,0.8987111111111111
31,11265,0.8987111111111111
32,11617,0.8906444444444445
33,11969,0.8831555555555556
34,12321,0.8832
35,12673,0.9064666666666666
36,13025,0.9102
37,13377,0.9015555555555556
38,13729,0.9062666666666667
39,14081,0.9112
40,14433,0.9024444444444445
41,14785,0.8949555555555555
42,15137,0.8799777777777777
43,15489,0.8816666666666667
44,15841,0.9020222222222222
45,16193,0.8892444444444444
46,16545,0.9075555555555556
47,16897,0.9153333333333333
48,17249,0.9079777777777778
49,17601,0.9042444444444444
50,17953,0.8952444444444444
51,18305,0.9073333333333333
52,18657,0.9000888888888889
53,19009,0.8953333333333333
54,19361,0.9277777777777778
55,19713,0.9085555555555556
56,20065,0.9053777777777777
57,20417,0.9093333333333333
58,20769,0.9114
59,21121,0.9157777777777778
60,21473,0.918
61,21825,0.9004444444444445
62,22177,0.9028888888888889
63,22529,0.9044888888888889
64,22881,0.9183555555555556
65,23233,0.8998666666666667
66,23585,0.9172222222222223
67,23937,0.9212666666666667
68,24289,0.9088666666666667
69,24641,0.9029333333333334
70,24993,0.9191777777777778
71,25345,0.8992666666666667
72,25697,0.9183111111111111
73,26049,0.9251111111111111
74,26401,0.9160222222222222
75,26753,0.9339333333333333
76,27105,0.9051555555555556
77,27457,0.9188888888888889
78,27809,0.9102666666666667
79,28161,0.9773111111111111
80,28513,0.9805777777777778
81,28865,0.9843111111111111
82,29217,0.9854
83,29569,0.9877777777777778
84,29921,0.9884666666666667
85,30273,0.9901555555555556
86,30625,0.9914222222222222
87,30977,0.9911777777777778
88,31329,0.9915111111111111
89,31681,0.9927333333333334
90,32033,0.9931111111111111
91,32385,0.9938666666666667
92,32737,0.9945333333333334
93,33089,0.9944666666666667
94,33441,0.9941555555555556
95,33793,0.9961777777777778
96,34145,0.9956888888888888
97,34497,0.9960666666666667
98,34849,0.9954444444444445
99,35201,0.9962
100,35553,0.9963555555555555
101,35905,0.9966222222222222
102,36257,0.9968666666666667
103,36609,0.9968
104,36961,0.9974888888888889
105,37313,0.9968222222222223
106,37665,0.9975111111111111
107,38017,0.9964
108,38369,0.9971555555555556
109,38721,0.9980666666666667
110,39073,0.9977111111111111
111,39425,0.9981333333333333
112,39777,0.9982888888888889
113,40129,0.9974666666666666
114,40481,0.9983555555555556
115,40833,0.9980666666666667
116,41185,0.9983111111111111
117,41537,0.9984
118,41889,0.9987111111111111
119,42241,0.9985333333333334
120,42593,0.9978
121,42945,0.9986888888888888
122,43297,0.9984888888888889
123,43649,0.9988
124,44001,0.9984
125,44353,0.9987333333333334
126,44705,0.9986444444444444
127,45057,0.9988444444444444
128,45409,0.9989555555555556
129,45761,0.9991111111111111
130,46113,0.9986444444444444
131,46465,0.9988222222222222
132,46817,0.9985555555555555
133,47169,0.9987111111111111
134,47521,0.9988666666666667
135,47873,0.9991111111111111
136,48225,0.9991555555555556
137,48577,0.9996222222222222
138,48929,0.9994444444444445
139,49281,0.9994666666666666
140,49633,0.9994888888888889
141,49985,0.9996444444444444
142,50337,0.9995555555555555
143,50689,0.9996888888888888
144,51041,0.9995777777777778
145,51393,0.9996
146,51745,0.9993111111111111
147,52097,0.9995333333333334
148,52449,0.9996666666666667
149,52801,0.9996888888888888
150,53153,0.9997777777777778
151,53505,0.9996888888888888
152,53857,0.9995111111111111
153,54209,0.9997555555555555
154,54561,0.9996
155,54913,0.9996888888888888
156,55265,0.9997777777777778
157,55617,0.9997111111111111
158,55969,0.9997333333333334
159,56321,0.9998222222222222
160,56673,0.9997555555555555
161,57025,0.9997777777777778
162,57377,0.9998222222222222
163,57729,0.9997333333333334
164,58081,0.9998222222222222
165,58433,0.9997333333333334
166,58785,0.9996888888888888
167,59137,0.9998222222222222
168,59489,0.9997555555555555
169,59841,0.9997777777777778
170,60193,0.9996444444444444
171,60545,0.9998222222222222
172,60897,0.9998
173,61249,0.9996666666666667
174,61601,0.9997777777777778
175,61953,0.9998222222222222
176,62305,0.9997111111111111
177,62657,0.9997555555555555
178,63009,0.9998222222222222
179,63361,0.9997333333333334
180,63713,0.9997555555555555
181,64065,0.9997777777777778
182,64417,0.9998888888888889
183,64769,0.9998666666666667
184,65121,0.9997555555555555
